grasp_id,label,timestamp_ms,enc_deg,s0_dx,s0_dy,s0_dz,s1_dx,s1_dy,s1_dz,s2_dx,s2_dy,s2_dz,s3_dx,s3_dy,s3_dz,s4_dx,s4_dy,s4_dz,s5_dx,s5_dy,s5_dz,t1_flag,t2_flag,t1_ms,t2_ms
6,cylinder_stiff,1300,114.224,14.179,10.575,42.175,-0.379,-13.474,45.793,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1320,114.224,12.379,9.375,49.435,1.721,-7.624,37.081,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1340,114.224,26.929,5.475,58.873,-4.429,-6.724,35.387,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1360,114.224,11.929,1.125,57.421,-5.329,-22.024,40.711,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1380,114.136,12.229,4.275,47.257,3.221,-13.324,35.629,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1400,114.224,11.329,11.925,52.097,4.421,-10.024,37.323,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1420,114.224,16.879,9.975,47.257,-6.229,-19.024,50.149,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1440,114.224,6.679,9.225,56.211,0.671,-10.324,42.405,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1460,114.224,5.779,4.875,52.339,-5.779,-8.674,45.309,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1480,114.224,5.629,17.175,55.243,4.571,-15.574,28.127,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1500,114.224,11.179,5.625,50.887,2.471,-8.374,39.985,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1520,114.224,16.879,7.125,47.741,8.771,-11.374,36.839,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1540,114.224,2.629,2.925,65.406,-0.829,-16.924,43.131,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1560,114.224,13.279,21.225,61.051,5.771,-20.074,25.949,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
